"TH"	"index"	"LST gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"count"
51	96	"6 e7+e7'+f5+2(g2+su(2))+7(so(7)+2 su(2))"	51	244	0	0	0	1	0	0	1	0	2
51	96	"6 e7+e7'+f5+2(g2+su(2))+7(so(7)+2 su(2))"	51	246	0	0	0	0	1	1	0	0	2
51	96	"6 e7+e7'+f5+2(g2+su(2))+7(so(7)+2 su(2))"	52	218	0	0	0	0	1	0	1	0	2
51	96	"6 e7+e7'+f5+2(g2+su(2))+7(so(7)+2 su(2))"	53	191	0	0	0	0	0	1	1	0	2
51	102	"6 e7+e7'+f5+3(g2+su(2))+6(so(7)+2 su(2))"	55	173	1	1	0	0	0	0	0	1	2
51	102	"6 e7+e7'+f5+3(g2+su(2))+6(so(7)+2 su(2))"	55	181	1	0	0	0	0	0	0	1	5
51	102	"6 e7+e7'+f5+3(g2+su(2))+6(so(7)+2 su(2))"	56	167	0	2	0	0	0	0	0	1	2
51	102	"6 e7+e7'+f5+3(g2+su(2))+6(so(7)+2 su(2))"	56	172	2	1	0	0	0	0	0	1	2
51	102	"6 e7+e7'+f5+3(g2+su(2))+6(so(7)+2 su(2))"	56	173	1	1	0	0	0	0	0	1	7
51	102	"6 e7+e7'+f5+3(g2+su(2))+6(so(7)+2 su(2))"	56	174	1	1	0	0	0	0	0	1	5
51	102	"6 e7+e7'+f5+3(g2+su(2))+6(so(7)+2 su(2))"	56	175	0	1	0	0	0	0	0	1	4
