mrg_T_H,LST_Gauge_normalized,LST_raw_examples,status,cls_T_H_values,mrg_sources,mrg_base_indices,SUGRA_examples
79,6 e8 + 7 f4 + 12 su2+g2 + su3,6 e8+7 f5+su(3)+12(g2+su(2)),LST_exists_wrong_TH,78,T080/Ext2; T080/Ext3,"2, 4",(none)
79,e6 + 11 e7 + f4 + 2 su2+g2 + 11 su2+so7+su2 + su3,11 e7+e6+f5+su(3)+2(g2+su(2))+11(so(7)+2 su(2)),LST_missing,,T080/Ext2,45,2 e6 + 11 e7 + e8 + f4 + 2 su2+g2 + 11 su2+so7+su2 + su3
79,e6 + 6 e8 + 6 f4 + 12 su2+g2 + su3,6 e8+e6+6 f5+su(3)+12(g2+su(2)),LST_missing,,T080/Ext2; T080/Ext3,"11, 18",(none)
80,11 e7 + 2 f4 + 4 su2+g2 + 10 su2+so7+su2,11 e7+2 f5+4(g2+su(2))+10(so(7)+2 su(2)),LST_missing,,T081/Ext2,51,11 e7 + 2 e8 + 2 f4 + 4 su2+g2 + 10 su2+so7+su2; 12 e7 + e8 + 2 f4 + 4 su2+g2 + 10 su2+so7+su2
80,6 e8 + 7 f4 + 12 su2+g2 + 2 su3,6 e8+7 f5+2 su(3)+12(g2+su(2)),LST_exists_wrong_TH,79,T081/Ext2,4,2 e6 + 6 e8 + 7 f4 + 12 su2+g2 + 2 su3; e6 + 6 e8 + 8 f4 + 12 su2+g2 + 2 su3
80,e7p + 6 e8 + 6 f4 + 13 su2+g2,6 e8+e7'+6 f5+13(g2+su(2)),LST_missing,,T081/Ext2,26,(none)
81,11 e7 + e7p + f4 + 2 su2+g2 + 12 su2+so7+su2,11 e7+e7'+f5+2(g2+su(2))+12(so(7)+2 su(2)),LST_missing,,T082/Ext2,47,11 e7 + 2 e7p + e8 + f4 + 2 su2+g2 + 12 su2+so7+su2; 12 e7 + e7p + e8 + f4 + 2 su2+g2 + 12 su2+so7+su2
81,e7 + 6 e8 + 6 f4 + 13 su2+g2,6 e8+e7+6 f5+13(g2+su(2)),LST_exists_wrong_TH,75,T082/Ext2; T082/Ext3,"8, 12, 14, 15",(none)
82,12 e7 + f4 + 2 su2+g2 + 12 su2+so7+su2,12 e7+f5+2(g2+su(2))+12(so(7)+2 su(2)),LST_missing,,T083/Ext2,25,12 e7 + e7p + e8 + f4 + 2 su2+g2 + 12 su2+so7+su2; 13 e7 + e8 + f4 + 2 su2+g2 + 12 su2+so7+su2
82,6 e8 + 7 f4 + 14 su2+g2,6 e8+7 f5+14(g2+su(2)),LST_exists_wrong_TH,"80, 81, 83, 84",T083/Ext2,1,2 e7 + 6 e8 + 7 f4 + 14 su2+g2; 2 e7p + 6 e8 + 7 f4 + 14 su2+g2; e6 + e7 + 6 e8 + 7 f4 + 14 su2+g2; e6 + e7p + 6 e8 + 7 f4 + 14 su2+g2; e7 + 6 e8 + 8 f4 + 14 su2+g2
82,e6 + 6 e8 + 7 f4 + 12 su2+g2 + 2 su3,6 e8+e6+7 f5+2 su(3)+12(g2+su(2)),LST_missing,,T083/Ext2; T083/Ext3,"15, 18, 26, 36",(none)
82,e6 + 6 e8 + 7 f4 + 13 su2+g2 + su3,6 e8+e6+7 f5+su(3)+13(g2+su(2)),LST_exists_wrong_TH,"83, 84",T083/Ext2,"27, 28",(none)
82,e7 + 6 e8 + 6 f4 + 14 su2+g2,6 e8+e7+6 f5+14(g2+su(2)),LST_missing,,T083/Ext2,12,e7 + 6 e8 + 8 f4 + 14 su2+g2
83,e6 + 6 e8 + 7 f4 + 12 su2+g2 + 3 su3,6 e8+e6+7 f5+3 su(3)+12(g2+su(2)),LST_exists_wrong_TH,82,T084/Ext2,21,2 e6 + 6 e8 + 8 f4 + 12 su2+g2 + 3 su3; 3 e6 + 6 e8 + 7 f4 + 12 su2+g2 + 3 su3
83,e7 + 6 e8 + 6 f4 + so8 + 14 su2+g2,6 e8+e7+6 f5+so(8)+14(g2+su(2)),LST_missing,,T084/Ext2,24,(none)
83,e7p + 6 e8 + 7 f4 + 13 su2+g2 + su3,6 e8+e7'+7 f5+su(3)+13(g2+su(2)),LST_missing,,T084/Ext2,22,(none)
84,e7 + 6 e8 + 6 f4 + 2 so8 + 14 su2+g2,6 e8+e7+6 f5+2 so(8)+14(g2+su(2)),LST_missing,,T085/Ext2,45,(none)
84,e7 + 6 e8 + 7 f4 + 13 su2+g2 + su3,6 e8+e7+7 f5+su(3)+13(g2+su(2)),LST_missing,,T085/Ext2,"8, 23, 24",(none)
85,12 e7 + 2 f4 + 4 su2+g2 + 11 su2+so7+su2,12 e7+2 f5+4(g2+su(2))+11(so(7)+2 su(2)),LST_missing,,T086/Ext2,40,13 e7 + e8 + 2 f4 + 4 su2+g2 + 11 su2+so7+su2
85,2 e6 + 6 e8 + 7 f4 + 12 su2+g2 + 3 su3,6 e8+2 e6+7 f5+3 su(3)+12(g2+su(2)),LST_missing,,T086/Ext2; T086/Ext3,"24, 43",(none)
85,2 e6 + 6 e8 + 7 f4 + 13 su2+g2 + 2 su3,6 e8+2 e6+7 f5+2 su(3)+13(g2+su(2)),LST_missing,,T086/Ext2,"44, 47",(none)
85,7 e8 + 6 f4 + 13 su2+g2,7 e8+6 f5+13(g2+su(2)),LST_exists_wrong_TH,"79, 80",T086/Ext2; T086/Ext3,4,(none)
85,e7 + 6 e8 + 7 f4 + 14 su2+g2 + su3,6 e8+e7+7 f5+su(3)+14(g2+su(2)),LST_missing,,T086/Ext2,21,e6 + e7 + 6 e8 + 8 f4 + 14 su2+g2 + su3
86,12 e7 + 2 f4 + 4 su2+g2 + 11 su2+so7+su2,12 e7+2 f5+4(g2+su(2))+11(so(7)+2 su(2)),LST_missing,,T087/Ext2,39,12 e7 + 2 e8 + 2 f4 + 4 su2+g2 + 11 su2+so7+su2
86,2 e6 + 6 e8 + 7 f4 + 12 su2+g2 + 4 su3,6 e8+2 e6+7 f5+4 su(3)+12(g2+su(2)),LST_missing,,T087/Ext2,42,3 e6 + 6 e8 + 8 f4 + 12 su2+g2 + 4 su3; 4 e6 + 6 e8 + 7 f4 + 12 su2+g2 + 4 su3
86,7 e8 + 6 f4 + 14 su2+g2,7 e8+6 f5+14(g2+su(2)),LST_missing,,T087/Ext2,1,7 e8 + 8 f4 + 14 su2+g2
86,e6 + e7p + 6 e8 + 7 f4 + 13 su2+g2 + 2 su3,6 e8+e7'+e6+7 f5+2 su(3)+13(g2+su(2)),LST_missing,,T087/Ext2,51,(none)
87,7 e8 + 6 f4 + so8 + 14 su2+g2,7 e8+6 f5+so(8)+14(g2+su(2)),LST_missing,,T088/Ext2,9,(none)
87,e6 + e7 + 6 e8 + 7 f4 + 13 su2+g2 + 2 su3,6 e8+e7+e6+7 f5+2 su(3)+13(g2+su(2)),LST_missing,,T088/Ext2,"33, 49, 50",(none)
87,e7 + 6 e8 + 7 f4 + 14 su2+g2 + su2+so7+su2,6 e8+e7+7 f5+14(g2+su(2))+so(7)+2 su(2),LST_exists_wrong_TH,"85, 88",T088/Ext2,23,2 e7 + 6 e8 + 8 f4 + 14 su2+g2 + su2+so7+su2; 2 e7 + e7p + 6 e8 + 7 f4 + 14 su2+g2 + su2+so7+su2; 3 e7 + 6 e8 + 7 f4 + 14 su2+g2 + su2+so7+su2; e6 + 2 e7 + 6 e8 + 7 f4 + 14 su2+g2 + su2+so7+su2; e7 + 2 e7p + 6 e8 + 7 f4 + 14 su2+g2 + su2+so7+su2
88,13 e7 + f4 + 2 su2+g2 + 13 su2+so7+su2,13 e7+f5+2(g2+su(2))+13(so(7)+2 su(2)),LST_missing,,T089/Ext2,21,14 e7 + e8 + f4 + 2 su2+g2 + 13 su2+so7+su2
88,7 e8 + 6 f4 + 2 so8 + 14 su2+g2,7 e8+6 f5+2 so(8)+14(g2+su(2)),LST_missing,,T089/Ext2,12,7 e8 + 7 f4 + 3 so8 + 14 su2+g2
88,7 e8 + 7 f4 + 13 su2+g2 + su3,7 e8+7 f5+su(3)+13(g2+su(2)),LST_exists_wrong_TH,83,T089/Ext2,5,e6 + 7 e8 + 7 f4 + 14 su2+g2 + su3
88,e6 + e7 + 6 e8 + 7 f4 + 14 su2+g2 + 2 su3,6 e8+e7+e6+7 f5+2 su(3)+14(g2+su(2)),LST_missing,,T089/Ext2,37,2 e6 + e7 + 6 e8 + 8 f4 + 14 su2+g2 + 2 su3; e6 + e7 + 6 e8 + 9 f4 + 14 su2+g2 + 2 su3
89,7 e8 + 7 f4 + 14 su2+g2 + su3,7 e8+7 f5+su(3)+14(g2+su(2)),LST_missing,,T090/Ext2,4,7 e8 + 9 f4 + 14 su2+g2 + su3; e6 + 7 e8 + 7 f4 + so8 + 14 su2+g2 + su3; e6 + 7 e8 + 8 f4 + 14 su2+g2 + su3
90,7 e8 + 7 f4 + so8 + 14 su2+g2 + su3,7 e8+7 f5+so(8)+su(3)+14(g2+su(2)),LST_missing,,T091/Ext2,17,e6 + 7 e8 + 7 f4 + 2 so8 + 14 su2+g2 + su3
91,7 e8 + 7 f4 + 2 so8 + 14 su2+g2 + su3,7 e8+7 f5+2 so(8)+su(3)+14(g2+su(2)),LST_missing,,T092/Ext2,25,e6 + 7 e8 + 7 f4 + 3 so8 + 14 su2+g2 + su3
91,e6 + 7 e8 + 7 f4 + 13 su2+g2 + 2 su3,7 e8+e6+7 f5+2 su(3)+13(g2+su(2)),LST_missing,,T092/Ext2,8,2 e6 + 7 e8 + 7 f4 + 14 su2+g2 + 2 su3
92,13 e7 + 2 f4 + 4 su2+g2 + 12 su2+so7+su2,13 e7+2 f5+4(g2+su(2))+12(so(7)+2 su(2)),LST_missing,,T093/Ext2,45,13 e7 + 2 e8 + 2 f4 + 4 su2+g2 + 12 su2+so7+su2
92,2 e7 + 6 e8 + 7 f4 + 14 su2+g2 + 2 su2+so7+su2,6 e8+2 e7+7 f5+14(g2+su(2))+2(so(7)+2 su(2)),LST_missing,,T093/Ext2,46,2 e7 + 2 e7p + 6 e8 + 7 f4 + 14 su2+g2 + 2 su2+so7+su2; 3 e7 + 6 e8 + 7 f4 + so8 + 14 su2+g2 + 2 su2+so7+su2; 3 e7 + 6 e8 + 8 f4 + 14 su2+g2 + 2 su2+so7+su2; e6 + 2 e7 + e7p + 6 e8 + 7 f4 + 14 su2+g2 + 2 su2+so7+su2; e6 + 3 e7 + 6 e8 + 7 f4 + 14 su2+g2 + 2 su2+so7+su2
92,7 e8 + 8 f4 + 14 su2+g2 + 2 su3,7 e8+8 f5+2 su(3)+14(g2+su(2)),LST_missing,,T093/Ext2,14,2 e6 + 7 e8 + 8 f4 + 14 su2+g2 + 2 su3; e6 + 7 e8 + 9 f4 + 14 su2+g2 + 2 su3
92,7 e8 + 8 f4 + 15 su2+g2,7 e8+8 f5+15(g2+su(2)),LST_exists_wrong_TH,93,T093/Ext2,"8, 13",e7 + 7 e8 + 8 f4 + 15 su2+g2 + su3; e7 + 7 e8 + 8 f4 + 16 su2+g2
92,e6 + 7 e8 + 7 f4 + 14 su2+g2 + 2 su3,7 e8+e6+7 f5+2 su(3)+14(g2+su(2)),LST_missing,,T093/Ext2,15,2 e6 + 7 e8 + 7 f4 + so8 + 14 su2+g2 + 2 su3; 2 e6 + 7 e8 + 8 f4 + 14 su2+g2 + 2 su3; e6 + 7 e8 + 9 f4 + 14 su2+g2 + 2 su3
93,e6 + 7 e8 + 7 f4 + so8 + 14 su2+g2 + 2 su3,7 e8+e6+7 f5+so(8)+2 su(3)+14(g2+su(2)),LST_missing,,T094/Ext2,28,2 e6 + 7 e8 + 7 f4 + 2 so8 + 14 su2+g2 + 2 su3
94,7 e8 + 8 f4 + 16 su2+g2,7 e8+8 f5+16(g2+su(2)),LST_exists_wrong_TH,"92, 93, 95, 96",T095/Ext2,4,2 e7 + 7 e8 + 8 f4 + 16 su2+g2; 2 e7p + 7 e8 + 8 f4 + 16 su2+g2; e6 + e7 + 7 e8 + 8 f4 + 16 su2+g2; e7 + e7p + 7 e8 + 8 f4 + 16 su2+g2
94,7 e8 + 9 f4 + 15 su2+g2 + su3,7 e8+9 f5+su(3)+15(g2+su(2)),LST_exists_wrong_TH,95,T095/Ext2,18,e7 + 7 e8 + 9 f4 + 15 su2+g2 + 2 su3
94,e6 + 7 e8 + 7 f4 + 2 so8 + 14 su2+g2 + 2 su3,7 e8+e6+7 f5+2 so(8)+2 su(3)+14(g2+su(2)),LST_missing,,T095/Ext2,38,2 e6 + 7 e8 + 7 f4 + 3 so8 + 14 su2+g2 + 2 su3
95,e6 + 7 e8 + 8 f4 + 14 su2+g2 + 3 su3,7 e8+e6+8 f5+3 su(3)+14(g2+su(2)),LST_missing,,T096/Ext2,21,3 e6 + 7 e8 + 8 f4 + 14 su2+g2 + 3 su3
95,e6 + 7 e8 + 8 f4 + 15 su2+g2 + su3,7 e8+e6+8 f5+su(3)+15(g2+su(2)),LST_exists_wrong_TH,96,T096/Ext2,"10, 18",e6 + e7 + 7 e8 + 8 f4 + 15 su2+g2 + 2 su3; e6 + e7 + 7 e8 + 8 f4 + 16 su2+g2 + su3
95,e6 + 7 e8 + 8 f4 + 16 su2+g2,7 e8+e6+8 f5+16(g2+su(2)),LST_exists_wrong_TH,96,T096/Ext2,"19, 20",(none); e6 + e7 + 7 e8 + 8 f4 + 16 su2+g2 + su3
96,e6 + 7 e8 + 8 f4 + 15 su2+g2 + 2 su3,7 e8+e6+8 f5+2 su(3)+15(g2+su(2)),LST_exists_wrong_TH,97,T097/Ext2,19,2 e6 + e7 + 7 e8 + 8 f4 + 15 su2+g2 + 2 su3; 2 e6 + e7p + 7 e8 + 8 f4 + 15 su2+g2 + 2 su3; e6 + e7 + 7 e8 + 8 f4 + so8 + 15 su2+g2 + 2 su3; e6 + e7 + 7 e8 + 9 f4 + 15 su2+g2 + 2 su3
96,e7p + 7 e8 + 8 f4 + 16 su2+g2,7 e8+e7'+8 f5+16(g2+su(2)),LST_exists_wrong_TH,97,T097/Ext2,20,e7 + e7p + 7 e8 + 8 f4 + 17 su2+g2
97,e7 + 7 e8 + 7 f4 + 2 so8 + 15 su2+g2 + su2+so7+su2,7 e8+e7+7 f5+2 so(8)+15(g2+su(2))+so(7)+2 su(2),LST_missing,,T098/Ext2,40,2 e7 + 7 e8 + 7 f4 + 2 so8 + 15 su2+g2 + su2+so7+su2 + su3; 2 e7 + 7 e8 + 7 f4 + 3 so8 + 15 su2+g2 + su2+so7+su2
97,e7 + 7 e8 + 8 f4 + 15 su2+g2 + su2+so7+su2,7 e8+e7+8 f5+15(g2+su(2))+so(7)+2 su(2),LST_missing,,T098/Ext2,"11, 30",2 e7 + 7 e8 + 8 f4 + 15 su2+g2 + su2+so7+su2 + su3; 2 e7 + 7 e8 + 8 f4 + 16 su2+g2 + su2+so7+su2
97,e7 + 7 e8 + 8 f4 + 16 su2+g2,7 e8+e7+8 f5+16(g2+su(2)),LST_exists_wrong_TH,98,T098/Ext2,"7, 19, 20",2 e7 + 7 e8 + 8 f4 + 17 su2+g2
98,14 e7 + 2 f4 + 4 su2+g2 + 13 su2+so7+su2,14 e7+2 f5+4(g2+su(2))+13(so(7)+2 su(2)),LST_missing,,T099/Ext2,30,14 e7 + 2 e8 + 2 f4 + 4 su2+g2 + 13 su2+so7+su2
98,2 e6 + 7 e8 + 8 f4 + 14 su2+g2 + 4 su3,7 e8+2 e6+8 f5+4 su(3)+14(g2+su(2)),LST_missing,,T099/Ext2,32,4 e6 + 7 e8 + 8 f4 + 14 su2+g2 + 4 su3
98,e7 + 7 e8 + 8 f4 + 15 su2+g2 + su2+so7+su2 + su3,7 e8+e7+8 f5+su(3)+15(g2+su(2))+so(7)+2 su(2),LST_exists_wrong_TH,97,T099/Ext2,15,2 e7 + 7 e8 + 8 f4 + so8 + 15 su2+g2 + su2+so7+su2 + su3; 2 e7 + 7 e8 + 9 f4 + 15 su2+g2 + su2+so7+su2 + su3; e6 + 2 e7 + 7 e8 + 8 f4 + 15 su2+g2 + su2+so7+su2 + su3; e6 + e7 + e7p + 7 e8 + 8 f4 + 15 su2+g2 + su2+so7+su2 + su3
98,e7 + 7 e8 + 8 f4 + 17 su2+g2,7 e8+e7+8 f5+17(g2+su(2)),LST_exists_wrong_TH,99,T099/Ext2,14,2 e7 + 7 e8 + 8 f4 + so8 + 17 su2+g2; 2 e7 + 7 e8 + 9 f4 + 17 su2+g2
99,e7 + 7 e8 + 8 f4 + 16 su2+g2 + su2+so7+su2,7 e8+e7+8 f5+16(g2+su(2))+so(7)+2 su(2),LST_exists_wrong_TH,"97, 100",T100/Ext2,21,2 e7 + e7p + 7 e8 + 8 f4 + 16 su2+g2 + su2+so7+su2; 3 e7 + 7 e8 + 8 f4 + 16 su2+g2 + su2+so7+su2; e6 + 2 e7 + 7 e8 + 8 f4 + 16 su2+g2 + su2+so7+su2; e7 + 2 e7p + 7 e8 + 8 f4 + 16 su2+g2 + su2+so7+su2
99,e7 + 7 e8 + 9 f4 + 15 su2+g2 + su2+so7+su2 + su3,7 e8+e7+9 f5+su(3)+15(g2+su(2))+so(7)+2 su(2),LST_missing,,T100/Ext2,35,2 e7 + 7 e8 + 9 f4 + 15 su2+g2 + su2+so7+su2 + 2 su3
100,e6 + e7 + 7 e8 + 8 f4 + 15 su2+g2 + su2+so7+su2 + su3,7 e8+e7+e6+8 f5+su(3)+15(g2+su(2))+so(7)+2 su(2),LST_missing,,T101/Ext2,"11, 14",e6 + 2 e7 + 7 e8 + 8 f4 + 15 su2+g2 + su2+so7+su2 + 2 su3; e6 + 2 e7 + 7 e8 + 8 f4 + 16 su2+g2 + su2+so7+su2 + su3
100,e6 + e7 + 7 e8 + 8 f4 + 16 su2+g2 + su2+so7+su2,7 e8+e7+e6+8 f5+16(g2+su(2))+so(7)+2 su(2),LST_missing,,T101/Ext2,"15, 18",(none); e6 + 2 e7 + 7 e8 + 8 f4 + 16 su2+g2 + su2+so7+su2 + su3
101,8 e8 + 8 f4 + 16 su2+g2,8 e8+8 f5+16(g2+su(2)),LST_exists_wrong_TH,"95, 96, 102",T102/Ext2,3,e7 + 8 e8 + 8 f4 + 17 su2+g2
101,e6 + e7 + 7 e8 + 8 f4 + 15 su2+g2 + su2+so7+su2 + 2 su3,7 e8+e7+e6+8 f5+2 su(3)+15(g2+su(2))+so(7)+2 su(2),LST_missing,,T102/Ext2,20,2 e6 + 2 e7 + 7 e8 + 8 f4 + 15 su2+g2 + su2+so7+su2 + 2 su3; 2 e6 + e7 + e7p + 7 e8 + 8 f4 + 15 su2+g2 + su2+so7+su2 + 2 su3; e6 + 2 e7 + 7 e8 + 8 f4 + so8 + 15 su2+g2 + su2+so7+su2 + 2 su3; e6 + 2 e7 + 7 e8 + 9 f4 + 15 su2+g2 + su2+so7+su2 + 2 su3
101,e7 + e7p + 7 e8 + 8 f4 + 16 su2+g2 + su2+so7+su2,7 e8+e7+e7'+8 f5+16(g2+su(2))+so(7)+2 su(2),LST_missing,,T102/Ext2,21,2 e7 + e7p + 7 e8 + 8 f4 + 17 su2+g2 + su2+so7+su2
102,2 e7 + 7 e8 + 8 f4 + 16 su2+g2 + su2+so7+su2,7 e8+2 e7+8 f5+16(g2+su(2))+so(7)+2 su(2),LST_missing,,T103/Ext2,"25, 29, 30",3 e7 + 7 e8 + 8 f4 + 17 su2+g2 + su2+so7+su2
102,8 e8 + 8 f4 + 17 su2+g2,8 e8+8 f5+17(g2+su(2)),LST_exists_wrong_TH,103,T103/Ext2,7,e7 + 8 e8 + 8 f4 + so8 + 17 su2+g2; e7 + 8 e8 + 9 f4 + 17 su2+g2
103,2 e7 + 7 e8 + 8 f4 + 17 su2+g2 + su2+so7+su2,7 e8+2 e7+8 f5+17(g2+su(2))+so(7)+2 su(2),LST_missing,,T104/Ext2,18,3 e7 + 7 e8 + 8 f4 + so8 + 17 su2+g2 + su2+so7+su2; 3 e7 + 7 e8 + 9 f4 + 17 su2+g2 + su2+so7+su2
104,15 e7 + 2 f4 + 4 su2+g2 + 14 su2+so7+su2,15 e7+2 f5+4(g2+su(2))+14(so(7)+2 su(2)),LST_missing,,T105/Ext2,16,15 e7 + 2 e8 + 2 f4 + 4 su2+g2 + 14 su2+so7+su2
104,2 e7 + 7 e8 + 8 f4 + 16 su2+g2 + 2 su2+so7+su2,7 e8+2 e7+8 f5+16(g2+su(2))+2(so(7)+2 su(2)),LST_missing,,T105/Ext2,17,2 e7 + 2 e7p + 7 e8 + 8 f4 + 16 su2+g2 + 2 su2+so7+su2; 3 e7 + e7p + 7 e8 + 8 f4 + 16 su2+g2 + 2 su2+so7+su2; 4 e7 + 7 e8 + 8 f4 + 16 su2+g2 + 2 su2+so7+su2; e6 + 3 e7 + 7 e8 + 8 f4 + 16 su2+g2 + 2 su2+so7+su2
106,8 e8 + 9 f4 + 18 su2+g2,8 e8+9 f5+18(g2+su(2)),LST_exists_wrong_TH,"105, 107",T107/Ext2,2,2 e7 + 8 e8 + 9 f4 + 18 su2+g2; e7 + e7p + 8 e8 + 9 f4 + 18 su2+g2
106,e7 + 8 e8 + 8 f4 + 16 su2+g2 + su2+so7+su2,8 e8+e7+8 f5+16(g2+su(2))+so(7)+2 su(2),LST_missing,,T107/Ext2,1,2 e7 + 8 e8 + 8 f4 + 17 su2+g2 + su2+so7+su2
107,e7 + 8 e8 + 8 f4 + 17 su2+g2 + su2+so7+su2,8 e8+e7+8 f5+17(g2+su(2))+so(7)+2 su(2),LST_missing,,T108/Ext2,2,2 e7 + 8 e8 + 9 f4 + 17 su2+g2 + su2+so7+su2
108,8 e8 + 9 f4 + 18 su2+g2,8 e8+9 f5+18(g2+su(2)),LST_exists_wrong_TH,"105, 107",T109/Ext2,2,10 e8 + 9 f4 + 18 su2+g2; 9 e8 + 10 f4 + 18 su2+g2; 9 e8 + 9 f4 + so8 + 18 su2+g2; e6 + 9 e8 + 9 f4 + 18 su2+g2; e7p + 9 e8 + 9 f4 + 18 su2+g2
108,e6 + 8 e8 + 9 f4 + 17 su2+g2 + 2 su3,8 e8+e6+9 f5+2 su(3)+17(g2+su(2)),LST_exists_wrong_TH,109,T109/Ext2,9,2 e6 + e7 + 8 e8 + 9 f4 + 17 su2+g2 + 2 su3
110,e7 + 8 e8 + 9 f4 + 17 su2+g2 + su2+so7+su2 + su3,8 e8+e7+9 f5+su(3)+17(g2+su(2))+so(7)+2 su(2),LST_missing,,T111/Ext2,9,e6 + 2 e7 + 8 e8 + 9 f4 + 17 su2+g2 + su2+so7+su2 + su3
111,e7 + 8 e8 + 9 f4 + 18 su2+g2 + su2+so7+su2,8 e8+e7+9 f5+18(g2+su(2))+so(7)+2 su(2),LST_exists_wrong_TH,112,T112/Ext2,4,2 e7 + e7p + 8 e8 + 9 f4 + 18 su2+g2 + su2+so7+su2; 3 e7 + 8 e8 + 9 f4 + 18 su2+g2 + su2+so7+su2
113,e6 + e7 + 8 e8 + 9 f4 + 17 su2+g2 + su2+so7+su2 + 2 su3,8 e8+e7+e6+9 f5+2 su(3)+17(g2+su(2))+so(7)+2 su(2),LST_missing,,T114/Ext2,10,2 e6 + 2 e7 + 8 e8 + 9 f4 + 17 su2+g2 + su2+so7+su2 + 2 su3
116,2 e7 + 8 e8 + 9 f4 + 18 su2+g2 + 2 su2+so7+su2,8 e8+2 e7+9 f5+18(g2+su(2))+2(so(7)+2 su(2)),LST_missing,,T117/Ext2,13,3 e7 + e7p + 8 e8 + 9 f4 + 18 su2+g2 + 2 su2+so7+su2; 4 e7 + 8 e8 + 9 f4 + 18 su2+g2 + 2 su2+so7+su2
118,9 e8 + 10 f4 + 20 su2+g2,9 e8+10 f5+20(g2+su(2)),LST_exists_wrong_TH,117,T119/Ext2,1,2 e7 + 9 e8 + 10 f4 + 20 su2+g2
119,9 e8 + 10 f4 + 20 su2+g2,9 e8+10 f5+20(g2+su(2)),LST_exists_wrong_TH,117,T120/Ext2,1,10 e8 + 10 f4 + so8 + 20 su2+g2; 10 e8 + 11 f4 + 20 su2+g2; e6 + 10 e8 + 10 f4 + 20 su2+g2; e7 + 10 e8 + 10 f4 + 20 su2+g2; e7p + 10 e8 + 10 f4 + 20 su2+g2
120,9 e8 + 10 f4 + 20 su2+g2,9 e8+10 f5+20(g2+su(2)),LST_exists_wrong_TH,117,T121/Ext2,1,11 e8 + 10 f4 + 20 su2+g2; e6 + 10 e8 + 10 f4 + 20 su2+g2; e7 + 10 e8 + 10 f4 + 20 su2+g2; e7p + 10 e8 + 10 f4 + 20 su2+g2
123,e7 + 9 e8 + 10 f4 + 20 su2+g2 + su2+so7+su2,9 e8+e7+10 f5+20(g2+su(2))+so(7)+2 su(2),LST_missing,,T124/Ext2,2,3 e7 + 9 e8 + 10 f4 + 20 su2+g2 + su2+so7+su2
123,e7 + 9 e8 + 10 f4 + 21 su2+g2,9 e8+e7+10 f5+21(g2+su(2)),LST_missing,,T124/Ext2,1,e7 + 10 e8 + 10 f4 + 20 su2+g2 + su2+so7+su2; e7 + 10 e8 + 10 f4 + 21 su2+g2 + su3; e7 + 10 e8 + 10 f4 + so8 + 21 su2+g2; e7 + 10 e8 + 11 f4 + 21 su2+g2
124,e7 + 9 e8 + 10 f4 + 20 su2+g2 + su2+so7+su2,9 e8+e7+10 f5+20(g2+su(2))+so(7)+2 su(2),LST_missing,,T125/Ext2,1,2 e7 + 10 e8 + 10 f4 + 20 su2+g2 + su2+so7+su2; e6 + e7 + 10 e8 + 10 f4 + 20 su2+g2 + su2+so7+su2; e7 + 10 e8 + 11 f4 + 20 su2+g2 + su2+so7+su2; e7 + e7p + 10 e8 + 10 f4 + 20 su2+g2 + su2+so7+su2
127,10 e8 + 10 f4 + 21 su2+g2,10 e8+10 f5+21(g2+su(2)),LST_missing,,T128/Ext2,1,11 e8 + 10 f4 + so8 + 21 su2+g2; 11 e8 + 11 f4 + 21 su2+g2
128,10 e8 + 10 f4 + so8 + 21 su2+g2,10 e8+10 f5+so(8)+21(g2+su(2)),LST_missing,,T129/Ext2,2,11 e8 + 10 f4 + 2 so8 + 21 su2+g2; 11 e8 + 10 f4 + so8 + 21 su2+g2 + su3
128,2 e7 + 9 e8 + 10 f4 + 20 su2+g2 + 2 su2+so7+su2,9 e8+2 e7+10 f5+20(g2+su(2))+2(so(7)+2 su(2)),LST_missing,,T129/Ext2,7,4 e7 + 9 e8 + 10 f4 + 20 su2+g2 + 2 su2+so7+su2
129,10 e8 + 10 f4 + 2 so8 + 21 su2+g2,10 e8+10 f5+2 so(8)+21(g2+su(2)),LST_missing,,T130/Ext2,5,11 e8 + 10 f4 + 2 so8 + 21 su2+g2 + su3; 11 e8 + 10 f4 + 3 so8 + 21 su2+g2
129,10 e8 + 11 f4 + 21 su2+g2,10 e8+11 f5+21(g2+su(2)),LST_missing,,T130/Ext2,"2, 3",11 e8 + 11 f4 + 21 su2+g2 + su3; 11 e8 + 11 f4 + 22 su2+g2
130,10 e8 + 11 f4 + 21 su2+g2 + su3,10 e8+11 f5+su(3)+21(g2+su(2)),LST_exists_wrong_TH,129,T131/Ext2,2,11 e8 + 12 f4 + 21 su2+g2 + su3; e6 + 11 e8 + 11 f4 + 21 su2+g2 + su3
130,10 e8 + 11 f4 + so8 + 21 su2+g2 + su3,10 e8+11 f5+so(8)+su(3)+21(g2+su(2)),LST_missing,,T131/Ext2,3,(none)
131,10 e8 + 11 f4 + 22 su2+g2,10 e8+11 f5+22(g2+su(2)),LST_exists_wrong_TH,129,T132/Ext2,1,e6 + 11 e8 + 11 f4 + 22 su2+g2; e7 + 11 e8 + 11 f4 + 22 su2+g2; e7p + 11 e8 + 11 f4 + 22 su2+g2
131,10 e8 + 12 f4 + 21 su2+g2 + su3,10 e8+12 f5+su(3)+21(g2+su(2)),LST_missing,,T132/Ext2,2,11 e8 + 12 f4 + 21 su2+g2 + 2 su3
