mrg_T_H,LST_Gauge_normalized,LST_raw_examples,status,cls_T_H_values,mrg_sources,mrg_base_indices,SUGRA_examples
46,6 e7 + 2 f4 + 2 su2+g2 + 5 su2+so7+su2 + 2 su3,6 e7+2 f5+2 su(3)+2(g2+su(2))+5(so(7)+2 su(2)),LST_missing,,T047/Ext2,78,2 e6 + 6 e7 + 2 f4 + 2 su2+g2 + 5 su2+so7+su2 + 2 su3; e6 + 6 e7 + 3 f4 + 2 su2+g2 + 5 su2+so7+su2 + 2 su3
46,7 e7 + 2 su2+g2 + 6 su2+so7+su2,7 e7+2(g2+su(2))+6(so(7)+2 su(2)),LST_missing,,T047/Ext2,"86, 97, 121",7 e7 + 2 f4 + 2 su2+g2 + 6 su2+so7+su2
46,8 e6 + 2 f4 + 2 su2+g2 + 9 su3,8 e6+2 f5+9 su(3)+2(g2+su(2)),LST_exists_wrong_TH,45,T047/Ext2,110,8 e6 + 2 e8 + 2 f4 + 2 su2+g2 + 9 su3; 8 e6 + e7 + e8 + 2 f4 + 2 su2+g2 + 9 su3; 8 e6 + e7p + e8 + 2 f4 + 2 su2+g2 + 9 su3; 8 e6 + e8 + 3 f4 + 2 su2+g2 + 9 su3; 9 e6 + e8 + 2 f4 + 2 su2+g2 + 9 su3
47,e6 + 6 e7 + f4 + su2+g2 + 6 su2+so7+su2 + 2 su3,6 e7+e6+f5+2 su(3)+g2+su(2)+6(so(7)+2 su(2)),LST_missing,,T048/Ext2,111,2 e6 + 6 e7 + 2 f4 + su2+g2 + 6 su2+so7+su2 + 2 su3; 3 e6 + 6 e7 + f4 + su2+g2 + 6 su2+so7+su2 + 2 su3
48,2 e6 + 6 e7 + 7 su2+so7+su2 + 2 su3,6 e7+2 e6+2 su(3)+7(so(7)+2 su(2)),LST_missing,,T049/Ext2,124,3 e6 + 6 e7 + f4 + 7 su2+so7+su2 + 2 su3; 4 e6 + 6 e7 + 7 su2+so7+su2 + 2 su3
48,6 e7 + 2 f4 + 4 su2+g2 + 5 su2+so7+su2,6 e7+2 f5+4(g2+su(2))+5(so(7)+2 su(2)),LST_exists_wrong_TH,"49, 50",T049/Ext2,84,6 e7 + 2 e7p + 2 f4 + 4 su2+g2 + 5 su2+so7+su2; 7 e7 + 3 f4 + 4 su2+g2 + 5 su2+so7+su2; 7 e7 + e7p + 2 f4 + 4 su2+g2 + 5 su2+so7+su2; e6 + 6 e7 + e7p + 2 f4 + 4 su2+g2 + 5 su2+so7+su2; e6 + 7 e7 + 2 f4 + 4 su2+g2 + 5 su2+so7+su2
48,6 e7 + e7p + f4 + 2 su2+g2 + 6 su2+so7+su2 + su3,6 e7+e7'+f5+su(3)+2(g2+su(2))+6(so(7)+2 su(2)),LST_missing,,T049/Ext2,127,e6 + 6 e7 + e7p + 2 f4 + 2 su2+g2 + 6 su2+so7+su2 + su3
48,9 e6 + 2 f4 + 2 su2+g2 + 10 su3,9 e6+2 f5+10 su(3)+2(g2+su(2)),LST_missing,,T049/Ext2,118,9 e6 + 2 e7 + 2 f4 + 2 su2+g2 + 10 su3
49,10 e6 + f4 + su2+g2 + su2+so7+su2 + 10 su3,10 e6+f5+10 su(3)+g2+su(2)+so(7)+2 su(2),LST_missing,,T050/Ext2,102,10 e6 + 2 e7 + f4 + su2+g2 + su2+so7+su2 + 10 su3
49,7 e7 + f4 + 2 su2+g2 + 6 su2+so7+su2 + su3,7 e7+f5+su(3)+2(g2+su(2))+6(so(7)+2 su(2)),LST_missing,,T050/Ext2,"85, 110",e6 + 7 e7 + 2 f4 + 2 su2+g2 + 6 su2+so7+su2 + su3
49,9 e6 + 2 f4 + 2 su2+g2 + 10 su3,9 e6+2 f5+10 su(3)+2(g2+su(2)),LST_missing,,T050/Ext2,100,10 e6 + e8 + 2 f4 + 2 su2+g2 + 10 su3; 9 e6 + e7 + e8 + 2 f4 + 2 su2+g2 + 10 su3; 9 e6 + e7p + e8 + 2 f4 + 2 su2+g2 + 10 su3; 9 e6 + e8 + 3 f4 + 2 su2+g2 + 10 su3
49,e6 + 6 e7 + e7p + su2+g2 + 7 su2+so7+su2 + su3,6 e7+e7'+e6+su(3)+g2+su(2)+7(so(7)+2 su(2)),LST_missing,,T050/Ext2,105,2 e6 + 6 e7 + e7p + f4 + su2+g2 + 7 su2+so7+su2 + su3
50,10 e6 + f4 + so8 + su2+g2 + 11 su3,10 e6+f5+so(8)+11 su(3)+g2+su(2),LST_missing,,T051/Ext2,106,10 e6 + e8 + f4 + 2 so8 + su2+g2 + 11 su3
50,10 e6 + f4 + su2+g2 + su2+so7+su2 + 10 su3,10 e6+f5+10 su(3)+g2+su(2)+so(7)+2 su(2),LST_missing,,T051/Ext2,94,10 e6 + e7 + e8 + f4 + su2+g2 + su2+so7+su2 + 10 su3; 10 e6 + e7p + e8 + f4 + su2+g2 + su2+so7+su2 + 10 su3; 10 e6 + e8 + 2 f4 + su2+g2 + su2+so7+su2 + 10 su3; 11 e6 + e8 + f4 + su2+g2 + su2+so7+su2 + 10 su3
50,11 e6 + 2 su2+so7+su2 + 10 su3,11 e6+10 su(3)+2(so(7)+2 su(2)),LST_missing,,T051/Ext2,95,11 e6 + 2 e7 + 2 su2+so7+su2 + 10 su3
50,6 e7 + e7p + f4 + 2 su2+g2 + 7 su2+so7+su2,6 e7+e7'+f5+2(g2+su(2))+7(so(7)+2 su(2)),LST_exists_wrong_TH,51,T051/Ext2,96,6 e7 + 3 e7p + f4 + 2 su2+g2 + 7 su2+so7+su2; 7 e7 + 2 e7p + f4 + 2 su2+g2 + 7 su2+so7+su2; 7 e7 + e7p + 2 f4 + 2 su2+g2 + 7 su2+so7+su2; e6 + 6 e7 + 2 e7p + f4 + 2 su2+g2 + 7 su2+so7+su2; e6 + 7 e7 + e7p + f4 + 2 su2+g2 + 7 su2+so7+su2
50,9 e6 + 2 f4 + 2 su2+g2 + 10 su3,9 e6+2 f5+10 su(3)+2(g2+su(2)),LST_missing,,T051/Ext2,91,10 e6 + e8 + 2 f4 + 2 su2+g2 + 10 su3; 9 e6 + 2 e8 + 2 f4 + 2 su2+g2 + 10 su3; 9 e6 + e7 + e8 + 2 f4 + 2 su2+g2 + 10 su3; 9 e6 + e7p + e8 + 2 f4 + 2 su2+g2 + 10 su3
50,e6 + 7 e7 + su2+g2 + 7 su2+so7+su2 + su3,7 e7+e6+su(3)+g2+su(2)+7(so(7)+2 su(2)),LST_missing,,T051/Ext2,"78, 100",2 e6 + 7 e7 + f4 + su2+g2 + 7 su2+so7+su2 + su3
52,10 e6 + 2 f4 + su2+g2 + 12 su3,10 e6+2 f5+12 su(3)+g2+su(2),LST_missing,,T053/Ext2,87,10 e6 + e8 + 3 f4 + su2+g2 + 12 su3; 11 e6 + e8 + 2 f4 + su2+g2 + 12 su3
