LSTGauge,n_bases
e8+f4+f4+g2+g2+sp1+sp1+su3+su3,2706
e6+e6+e6+g2+su2+su3+su3+su3,2692
f4+so8+so8+su3,2680
g2+so8+so8+so8+so8+su2+su3,2660
e6+e7+e7+so7+so7+su2+su2+su2+su2,2654
e6+e6+e6+e6+su3+su3+su3+su3,2650
e7+e7+e7+so7+so7+so7+so7+su2+su2+su2+su2+su2+su2+su2+su2,2640
e6+e7+e7+so7+so7+so7+su2+su2+su2+su2+su2+su2,2485
f4+f4+g2+su2+su3+su3,2466
e7+g2+so7+so8+sp1+su2+su2,2448
e7+e7+g2+so7+so7+so8+su2+su2+su2+su2+su2,2444
e7+g2+sp1+su3,2436
e6+e6+e8+f4+f4+g2+g2+sp1+sp1+su3+su3,2424
e8+f4+g2+g2+g2+so8+sp1+sp1+su2,2422
e7+e7+f4+g2+so7+so7+su2+su2+su2+su2+su2+su3,2397
e8+g2+g2+so8+sp1+sp1+su3,2342
e7+e7+g2+so7+so8+su2+su2+su2,2327
e6+e6+e7+so7+so7+su2+su2+su2+su2+su3,2320
e7+f4+g2+g2+so8+su2+su2+su3,2319
e6+f4+g2+g2+sp1+su2,2284
e6+e7+g2+so7+so8+su2+su2+su2+su3,2283
g2+so8+so8+so8+so8+sp1+su3,2271
e7+e7+g2+so7+sp1+su2+su2,2265
e7+g2+so8+so8+su2,2255
e6+g2+so8+sp1,2229
e7+e8+f4+f4+g2+g2+g2+g2+sp1+sp1+su2+su2,2221
e7+e7+g2+so7+so7+sp1+su2+su2+su2+su2,2208
e8+f4+g2+g2+g2+sp1+sp1+sp1,2192
e7+f4+g2+g2+su2+su2+su3+su3,2171
e6+e6+e6+so7+su2+su2+su3+su3,2168
f4+g2+sp1+su3+su3,2162
e8+f4+g2+g2+g2+sp1+sp1+su2+su3,2155
e6+f4+so7+su2+su2+su3+su3,2104
g2+g2+so8+so8+so8+sp1+su2,2094
e7+f4+g2+g2+g2+sp1+sp1+su2,2093
e7+e7+f4+g2+g2+g2+so7+su2+su2+su2+su2+su2,2068
e7+g2+so7+so8+so8+su2+su2+su2,2034
e7+e7+e7+so7+so7+so7+su2+su2+su2+su2+su2+su2,2017
e6+e8+f4+f4+g2+g2+sp1+sp1+su3,2001
e6+e6+e7+so7+su2+su2+su3+su3,1991
e6+e8+f4+f4+g2+g2+g2+sp1+sp1+su2+su3,1986
e6+e6+e7+so7+su2+su2+su3,1975
e6+e6+e6+e6+su3+su3+su3,1958
e6+e6+f4+g2+su2+su3,1949
e7+e7+f4+g2+g2+g2+su2+su2+su2,1921
e6+so7+so7+su2+su2+su2+su2,1919
so8+so8+so8+so8+su3+su3,1912
e7+e7+g2+so7+so7+su2+su2+su2+su2+su2+su3,1896
e7+e7+f4+g2+g2+g2+sp1+su2+su2,1895
e6+e7+g2+so7+su2+su2+su2+su3+su3,1879
e7+g2+g2+so7+su2+su2+su2+su2,1876
f4+f4+g2+sp1+su3+su3,1876
e7+f4+g2+so7+sp1+su2+su2+su3,1860
e6+e6+so7+so8+su2+su2+su3+su3,1856
e6+e6+so8+su3+su3+su3+su3,1852
e7+e7+f4+g2+g2+so7+su2+su2+su2+su2+su3,1824
e6+e7+g2+so7+sp1+su2+su2+su3,1810
e6+e6+e6+so8+su3+su3+su3+su3,1795
e6+e6+f4+g2+sp1+su3+su3+su3,1780
e6+e8+f4+g2+g2+so8+sp1+sp1+su3+su3,1776
g2+g2+so8+sp1+sp1,1752
e7+e7+f4+g2+g2+so7+so7+su2+su2+su2+su2+su2+su2,1732
e7+e7+f4+g2+g2+g2+so7+sp1+su2+su2+su2+su2,1714
e6+e6+e7+g2+so7+su2+su2+su2+su3+su3,1708
e6+e6+e6+f4+su3+su3+su3+su3,1707
e6+e8+f4+g2+g2+sp1+sp1+su3+su3,1684
e6+e6+e6+f4+su3+su3+su3,1668
e7+g2+so7+sp1+su2+su2+su3,1648
e7+e7+e7+e7+g2+so7+so7+so7+so7+su2+su2+su2+su2+su2+su2+su2+su2+su2,1647
e6+e6+e8+f4+g2+g2+sp1+sp1+su3+su3+su3,1646
e6+e7+e7+g2+so7+so7+su2+su2+su2+su2+su2+su3,1636
e6+e6+so8+so8+su3+su3+su3,1635
e6+g2+so8+so8+su2,1623
e7+e7+g2+so7+su2+su2+su2+su3,1621
e6+e6+e8+f4+f4+g2+g2+sp1+sp1+su3+su3+su3,1567
e6+e8+f4+g2+g2+so8+sp1+sp1+su3,1535
e6+e6+e6+g2+su2+su3+su3,1516
e8+f4+g2+g2+so8+sp1+sp1+su3+su3,1502
g2+so8+so8+so8+so8+so8+su2,1497
e7+g2+so7+so8+su2+su2+su2+su3,1489
e6+e6+e8+f4+g2+g2+so8+sp1+sp1+su3+su3,1488
e8+f4+f4+g2+g2+so8+sp1+sp1+su3,1478
e6+e6+e6+e6+su3+su3+su3+su3+su3,1473
f4+f4+g2+g2+sp1+su2+su3,1454
e6+e7+e7+so7+so7+so7+su2+su2+su2+su2+su2+su2+su3,1450
so8+so8+so8+so8+so8,1423
e8+g2+g2+g2+so8+so8+sp1+sp1+su2,1421
e7+e8+f4+f4+g2+g2+g2+g2+sp1+sp1+su2+su2+su3,1407
e6+e8+f4+g2+g2+so8+so8+sp1+sp1+su3,1406
e7+e7+e7+so7+so7+su2+su2+su2+su2,1405
e6+e6+e6+g2+so7+su2+su2+su2+su3+su3,1389
e8+f4+f4+f4+g2+g2+sp1+sp1+su3,1380
so8+so8+so8+so8+so8+su3,1366
e6+e6+e6+so7+su2+su2+su3,1357
g2+so8+so8+so8+so8+so8+sp1,1340
g2+so8+so8+so8+so8+so8+sp1+su3,1340
e6+f4+g2+so7+su2+su2+su2+su3,1327
e6+e7+f4+g2+g2+g2+su2+su2+su2,1325
e7+e7+e8+f4+f4+g2+g2+g2+g2+so7+sp1+sp1+su2+su2+su2+su2,1320
e7+e7+f4+so7+so7+su2+su2+su2+su2,1313
e7+e7+g2+g2+so7+so8+sp1+su2+su2+su2,1312
e8+f4+g2+sp1+su3,1307
e8+f4+f4+g2+g2+g2+sp1+sp1+sp1+su3,1297
e7+g2+so8+so8+sp1,1295
e6+e6+f4+so7+su2+su2+su3+su3,1282
e6+e7+f4+so7+so7+su2+su2+su2+su2+su3,1282
e7+e8+f4+g2+g2+g2+g2+sp1+sp1+su2+su2,1281
e6+e8+f4+g2+g2+g2+sp1+sp1+su2+su3,1279
e8+f4+f4+g2+g2+g2+sp1+sp1+sp1,1270
e6+e8+f4+g2+g2+sp1+sp1+su3,1266
e7+e8+f4+f4+g2+g2+g2+g2+sp1+sp1+sp1+su2,1255
e6+su3+su3+su3+su3,1252
e6+e7+f4+g2+so7+su2+su2+su2+su3+su3,1252
e7+e7+e7+f4+g2+so7+so7+so7+su2+su2+su2+su2+su2+su2+su2,1248
e7+e7+f4+so7+so7+so7+su2+su2+su2+su2+su2+su2,1243
f4+f4+so7+su2+su2,1235
e6+f4+g2+so8+sp1+su3+su3,1232
e7+e7+e7+e7+so7+so7+so7+su2+su2+su2+su2+su2+su2,1226
g2+so7+su2+su2+su2,1224
e7+e8+f4+g2+g2+g2+g2+so8+sp1+sp1+su2+su2,1224
e6+e6+e8+f4+g2+g2+sp1+sp1+su3+su3,1209
g2+g2+so8+so8+so8+so8+sp1+su2,1208
e7+e7+e7+e7+so7+so7+so7+so7+su2+su2+su2+su2+su2+su2+su2+su2,1207
f4+f4+g2+g2+su2+su2,1202
e7+e7+e7+f4+g2+g2+so7+so7+su2+su2+su2+su2+su2+su2,1201
e7+e7+g2+g2+so7+sp1+su2+su2+su2+su3,1199
e6+e8+f4+f4+f4+g2+g2+sp1+sp1+su3+su3,1171
e7+g2+so8+su2+su3,1169
e6+e6+e7+so7+so7+su2+su2+su2+su2+su3+su3,1165
e6+e7+f4+g2+su2+su3+su3,1156
e6+e6+e6+e8+f4+g2+g2+sp1+sp1+su3+su3+su3,1151
e6+f4+g2+so8+su2+su3+su3,1144
e6+e8+f4+f4+g2+g2+sp1+sp1+su3+su3+su3,1139
e7+e7+e7+e7+e7+g2+so7+so7+so7+so7+su2+su2+su2+su2+su2+su2+su2+su2+su2,1136
e8+f4+g2+g2+so8+so8+so8+sp1+sp1+su3,1134
e6+e6+e6+e6+g2+su2+su3+su3+su3+su3,1125
g2+so8+so8+so8+so8+so8+so8+sp1+su3,1103
e6+e6+e6+e6+so7+su2+su2+su3+su3+su3+su3,1100
e7+f4+f4+g2+so7+su2+su2+su2+su3,1089
e7+e8+f4+f4+g2+g2+g2+sp1+sp1+su2,1084
e6+e8+f4+f4+g2+g2+so8+sp1+sp1+su3+su3,1081
e8+f4+f4+f4+g2+g2+sp1+sp1+su3+su3,1080
e6+e7+e7+e7+so7+so7+so7+so7+su2+su2+su2+su2+su2+su2+su2+su2,1080
e7+e8+f4+f4+g2+g2+g2+sp1+sp1+sp1,1067
e8+f4+g2+sp1,1061
e7+g2+so8+so8+so8+su2,1058
e6+e7+f4+g2+g2+su2+su2+su3+su3,1055
e6+f4+f4+g2+su2+su3,1043
e8+f4+f4+g2+g2+g2+g2+sp1+sp1+sp1+su2,1042
e6+f4+g2+so7+sp1+su2+su2+su3,1041
e6+so8+so8+so8+su3,1037
so8+so8+so8+so8+so8+so8,1025
e8+g2+g2+g2+so8+sp1+sp1+su2,1024
e6+e6+e6+su3+su3+su3+su3+su3,1023
e6+e6+e6+f4+g2+su2+su3+su3+su3+su3,1021
e8+g2+g2+g2+sp1+sp1+su2,1019
f4+f4+g2+g2+sp1+su2,1016
e6+e7+f4+g2+sp1+su3+su3,1002
e7+e7+e7+g2+so7+so7+so7+so8+su2+su2+su2+su2+su2+su2+su2,997
e6+e7+f4+g2+su2+su3,986
e6+e7+f4+g2+sp1+su3,986
e8+f4+g2+g2+g2+so8+sp1+sp1+su2+su3,986
e8+f4+f4+g2+g2+so8+sp1+sp1+su3+su3,978
e8+f4+g2+g2+g2+sp1+sp1+sp1+su3,973
e8+f4+f4+g2+g2+g2+g2+sp1+sp1+su2+su2,969
e7+e7+f4+g2+g2+so7+so7+sp1+su2+su2+su2+su2+su2,969
e6+e6+e7+e7+g2+so7+so7+su2+su2+su2+su2+su2+su3,968
e6+e7+f4+g2+g2+so7+su2+su2+su2+su2,967
f4+f4+g2+g2+su2+su2+su3,964
e6+e6+e6+e7+so7+su2+su2+su3+su3,964
e6+e6+e6+f4+su3+su3+su3+su3+su3,956
g2+so8+so8+so8+so8+so8+so8+so8+sp1+su3,949
e7+e7+e7+f4+g2+so7+so7+su2+su2+su2+su2+su2,947
e7+f4+g2+g2+so7+sp1+sp1+su2+su2,942
e7+f4+f4+g2+g2+g2+su2+su2+su2,931
g2+so8+so8+so8+so8+so8+so8+sp1,928
e7+e7+e7+f4+g2+g2+g2+so7+su2+su2+su2+su2+su2,928
e7+f4+f4+so7+so7+su2+su2+su2+su2,927
g2+g2+so8+so8+sp1+sp1,927
e7+f4+g2+g2+sp1+sp1,925
e7+e7+e8+f4+f4+g2+g2+g2+so7+sp1+sp1+su2+su2+su2,924
e7+e7+e7+g2+so7+so7+so7+sp1+su2+su2+su2+su2+su2+su2,923
e6+e6+f4+g2+g2+sp1+su2+su3+su3,922
e7+g2+g2+su2+su2+su3+su3,921
e6+e6+e6+f4+g2+sp1+su3+su3+su3+su3,920
e6+e6+so7+su2+su2+su3+su3+su3,919
e6+e6+f4+g2+g2+su2+su2+su3+su3,911
e6+e6+so7+so7+su2+su2+su2+su2+su3,908
so7+so8+su2+su2+su3,904
e7+e8+f4+g2+g2+g2+g2+sp1+sp1+su2+su2+su3,902
e7+e7+g2+g2+so7+so8+su2+su2+su2+su2+su3,899
e6+e6+e6+so7+so8+su2+su2+su3+su3+su3,899
e6+so7+so8+su2+su2,897
e8+f4+f4+g2+g2+so8+so8+sp1+sp1+su3,893
g2+g2+so8+so8+so8+so8+so8+sp1+su2,890
e6+e6+e6+e7+so7+su2+su2+su3+su3+su3,887
e8+e8+f4+f4+g2+g2+g2+g2+sp1+sp1+sp1+sp1+su3,886
e6+e7+g2+g2+so7+su2+su2+su2+su2,884
e8+f4+g2+g2+g2+so8+so8+sp1+sp1+su2,883
e7+e8+f4+f4+g2+g2+g2+sp1+sp1+su2+su3,881
e6+e7+e7+e7+so7+so7+so7+su2+su2+su2+su2+su2+su2,878
e6+e8+f4+f4+g2+g2+g2+sp1+sp1+su2,873
e7,872
e6+e6+f4+so7+su2+su2+su3+su3+su3,870
e7+e7+e7+f4+g2+g2+g2+so7+so7+sp1+su2+su2+su2+su2+su2+su2,869
e7+e8+f4+f4+g2+g2+g2+so7+sp1+sp1+su2+su2+su2+su3,867
e7+e7+e8+f4+g2+g2+g2+g2+so7+sp1+sp1+su2+su2+su2+su2,865
g2+so8+so8+so8+so8+so8+so8+so8+sp1,846
e6+e6+f4+g2+sp1+su3+su3,843
e7+e8+f4+g2+g2+g2+so8+sp1+sp1+sp1,837
e6+e7+e8+f4+f4+g2+g2+g2+so7+sp1+sp1+su2+su2+su2,829
e7+e8+f4+g2+g2+g2+so8+sp1+sp1+su2,826
e6+e7+e7+f4+g2+so7+so7+su2+su2+su2+su2+su2+su3,818
e6+f4+f4+g2+su2+su3+su3,817
e7+so7+so7+so8+su2+su2+su2+su2,815
e6+e7+e7+e7+g2+so7+so7+so7+su2+su2+su2+su2+su2+su2+su2,812
e7+e7+e7+g2+so7+so7+so7+su2+su2+su2+su2+su2+su2+su2+su3,808
e6+e7+f4+g2+g2+so7+sp1+su2+su2+su2,807
e8+e8+f4+f4+f4+g2+g2+g2+g2+sp1+sp1+sp1+sp1,807
e8+f4+g2+g2+so8+so8+sp1+sp1+su3+su3,795
e7+e8+f4+g2+g2+g2+sp1+sp1+su2,791
e7+f4+f4+g2+su2+su3,786
e7+e7+e7+f4+g2+so7+so7+so7+su2+su2+su2+su2+su2+su2+su2+su3,779
e7+e7+e8+f4+g2+g2+g2+so7+so8+sp1+sp1+su2+su2+su2,779
e7+e8+f4+g2+g2+g2+so8+so8+sp1+sp1+sp1,776
e7+e7+e8+f4+f4+g2+g2+g2+g2+g2+so7+sp1+sp1+su2+su2+su2+su2+su2,776
e7+e8+f4+g2+g2+g2+so8+so8+sp1+sp1+su2,772
e7+e8+f4+f4+g2+g2+g2+sp1+sp1+sp1+su3,766
e8+g2+g2+so8+so8+sp1+sp1+su3+su3,765
e6+e8+f4+g2+g2+g2+so8+sp1+sp1+su2+su3,765
e8+e8+f4+f4+g2+g2+g2+g2+so8+sp1+sp1+sp1+sp1,762
e7+e8+f4+f4+g2+g2+g2+g2+g2+sp1+sp1+su2+su2+su2,758
e7+e7+f4+g2+g2+g2+g2+su2+su2+su2+su2,757
e8+e8+f4+g2+g2+g2+g2+so8+sp1+sp1+sp1+sp1+su3,757
e8+e8+f4+f4+g2+g2+g2+g2+sp1+sp1+sp1+sp1,755
e8+e8+e8+f4+f4+f4+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1,750
g2+so8+so8+so8+so8+so8+so8+so8+so8+sp1,748
e6+e6+e6+so8+su3+su3+su3,745
e6+e6+e6+e6+e6+su3+su3+su3+su3+su3,741
e7+e8+f4+g2+g2+g2+g2+so8+so8+sp1+sp1+su2+su2,733
e8+e8+f4+g2+g2+g2+g2+so8+so8+sp1+sp1+sp1+sp1+su3,731
e6+e8+f4+g2+g2+so8+so8+sp1+sp1+su3+su3,727
e7+e8+f4+f4+g2+g2+g2+g2+so8+sp1+sp1+su2+su2,724
e6+e6+f4+so7+su2+su2+su3,722
g2+so8+so8+so8+so8+so8+su2+su3,722
e6+e6+e6+f4+g2+su2+su3+su3+su3,712
e8+g2+g2+sp1+sp1+su3+su3,707
e8+e8+e8+e8+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1,705
e7+e7+so7+su2+su2,703
e7+e8+f4+g2+g2+g2+sp1+sp1+sp1,700
