"T_LST","External","LST_Gauge","Count"
4,"e7'+so8","sp1+g2",1
4,"e7+so8","su2+g2",1
4,"e7+su2","sp1+g2",1
4,"e7'+su2+su2","sp1+g2",1
4,"f4+su2","(none)",1
4,"f4+su2","su3 + su3",1
4,"f4+su2+su2","su2+g2",1
4,"f4+su2+su3","su3 + su3",1
4,"f4+su3","(none)",1
4,"f4+su3+su3","su2+g2",1
4,"hat1+su2","(none)",1
4,"so8","su2+g2 + su2+g2",1
4,"so8","su2+so7+su2",1
4,"so8","su3 + su3 + su3",1
4,"so8+so8","(none)",1
4,"so8+su2","su3 + su3",1
4,"so8+su2+su2","sp1+g2",1
4,"so8+su2+su2","su2+g2",1
4,"so8+su2+su2","su3 + su3",1
4,"so8+su2+su2+su2","su2+g2",1
4,"so8+su2+su2+su2","su2+g2 + su3",1
4,"so8+su2+su2+su2","su3 + su3",1
4,"so8+su2+su3","su2+g2",1
4,"su2","(none)",1
4,"su2+su2","su2+so7+su2",1
4,"su2+su2+su2","su2+so7+su2",1
4,"su2+su2+su2+su2","su2+g2 + su3",1
4,"su2+su2+su2+su2+su2","su3 + su3",1
4,"su2+su2+su2+su2+su2+su3","so8",1
4,"su2+su2+su2+su2+su3","so8",1
4,"su2+su2+su2+su2+su3","su2+so7+su2",1
4,"su2+su3","(none)",1
4,"su2+su3+su3","sp1+g2",1
4,"su3+su3","su2+so7+su2",1
5,"su2","f4",1026
5,"su2","so8 + su2+g2 + su3",272
5,"su2","su2+g2 + su3",184
5,"su2+su2","su2+g2 + su3",180
5,"su2","su2+so7+su2 + su3",153
5,"su2+su2","su2+so7+su2 + su3",137
5,"su2+su2","f4",119
5,"su3","sp1+g2",102
5,"su2+su2+su2","su2+g2 + su3",66
5,"su3","su2+so7+su2",54
5,"su2+su2+su2+su2","su2+g2 + su3",52
5,"su2+su2+su2","f4",30
5,"su2+su2","so8 + su3",25
5,"su2+su2+su2+su2","f4",24
5,"su2","so8 + su3",22
5,"su2+su2+su3","su2+so7+su2",22
5,"su2+su2","so8 + su3 + su3",21
5,"su3","f4",21
5,"su3","so8 + su3 + su3",20
5,"su2+su2+su2","su2+so7+su2 + su3",19
5,"su2+su2+su3","f4",17
5,"su2+su2+su3","so8 + su2+g2",17
5,"su2+su2+su3","so8 + su3",17
5,"su2+su2+su2","so8 + su3",14
5,"su2+su2+su2+su2","su2+so7+su2 + su3",14
5,"so8+su2","su2+g2 + su3",13
5,"su2","sp1+g2",13
5,"so8+su2+su2","su2+so7+su2 + su3",12
5,"su2","so8 + su2+g2",12
5,"su2+su3","so8 + su2+g2",11
5,"su2+su2","so8 + su2+g2",10
5,"su2+su2","so8 + su2+g2 + su3",10
5,"su3+su3","sp1+g2",10
5,"su2+su3","f4",9
5,"su2+su3","su2+g2 + su3",9
5,"su2+su3","su2+so7+su2",9
5,"su2","su2+so7+su2",8
5,"su2+su2+su3","so8 + sp1+g2",8
5,"su3","su2+g2 + su3",8
5,"su3+su3","f4",8
5,"so8+su2+su2","su2+g2 + su3",7
5,"su2","so8 + su3 + su3",7
5,"su2+su2+su2","so8 + su3 + su3",7
5,"su2+su3","so8 + su3",7
5,"su2+su3+su3","so8 + su3",7
5,"su3","so8 + su2+so7+su2",7
5,"su2+su2+su2+su3","f4",6
5,"su2+su2+su3","so8 + su2+so7+su2",6
5,"su2+su3","sp1+g2",6
5,"su3","so8 + su2+g2",6
5,"su3","so8 + su3",6
5,"so8","so8 + su2+g2",5
5,"su2+su2+su2","so8 + su2+g2 + su3",5
5,"su2+su2+su2+su2+su2","f4",5
5,"su2+su2+su3","so8 + su3 + su3",5
5,"f4","sp1+g2",4
5,"so8","(none)",4
5,"so8","so8 + su3",4
5,"so8","sp1+g2",4
5,"so8","su2+so7+su2 + su3",4
5,"so8+su2+su2+su3","su2+so7+su2",4
5,"so8+su3","su2+so7+su2",4
5,"su2+su2","su2+so7+su2",4
5,"su2+su2+su2+su2+su2","su2+g2 + su3",4
5,"su2+su2+su3","su2+g2 + su3",4
5,"su2+su2+su3","su2+so7+su2 + su3",4
5,"su2+su2+su3+su3","so8 + su3",4
5,"su3","(none)",4
5,"su3+su3","so8 + su3",4
5,"e6","(none)",3
5,"e6","su2+g2 + su3",3
5,"e6","su2+so7+su2 + su3",3
5,"e6+su3","(none)",3
5,"e7","(none)",3
5,"e7'","(none)",3
5,"e8","(none)",3
5,"f4","(none)",3
5,"f4","su2+g2 + su3",3
5,"f4","su2+so7+su2 + su3",3
5,"f4+su3","sp1+g2",3
5,"so8","su2+g2 + su3",3
5,"so8","su2+so7+su2",3
5,"so8+su2+su2","so8 + su3",3
5,"so8+su3","so8 + su3",3
5,"su2+su2+su2+su2","so8 + su3",3
5,"su2+su2+su3","sp1+g2",3
5,"su2+su3","so8 + sp1+g2",3
5,"su3","su2+so7+su2 + su3",3
5,"su3+su3+su3","f4",3
5,"e6","so8 + su3",2
5,"e6","sp1+g2",2
5,"e6","su2+so7+su2",2
5,"e6+su2","so8 + su3",2
5,"e6+su2","su2+g2 + su3",2
5,"e7","sp1+g2",2
5,"e7","su2+so7+su2",2
5,"e7","su2+so7+su2 + su3",2
5,"e7'","sp1+g2",2
5,"e7'","su2+so7+su2",2
5,"e7'","su2+so7+su2 + su3",2
5,"e7+so8","su2+so7+su2",2
5,"e8","sp1+g2",2
5,"f4","so8 + su2+g2",2
5,"f4","so8 + su3",2
5,"f4","su2+so7+su2",2
5,"f4+su3","su2+g2 + su3",2
5,"hat1","(none)",2
5,"so8","so8 + su3 + su3",2
5,"so8+su2","(none)",2
5,"so8+su2","so8 + su3",2
5,"so8+su2","sp1+g2",2
5,"so8+su3","so8 + su2+g2",2
5,"su2","so8 + sp1+g2",2
5,"su2+su2","so8 + sp1+g2",2
