"TH"	"index"	"LST gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"count"
59	33	"5 e8+4 f5+su(3)+9(g2+su(2))"	63	162	2	1	0	0	0	0	0	0	3
59	33	"5 e8+4 f5+su(3)+9(g2+su(2))"	63	164	1	1	0	0	0	0	0	0	5
59	33	"5 e8+4 f5+su(3)+9(g2+su(2))"	63	166	0	1	0	0	0	0	0	0	2
59	33	"5 e8+4 f5+su(3)+9(g2+su(2))"	63	173	1	0	0	0	0	0	0	0	5
59	36	"5 e8+4 f5+10(g2+su(2))"	63	164	1	1	0	0	0	0	0	0	5
59	36	"5 e8+4 f5+10(g2+su(2))"	63	165	0	1	0	0	0	0	0	0	4
59	40	"4 e8+e7'+5 f5+10(g2+su(2))"	59	262	1	0	0	0	0	0	0	0	2
59	43	"4 e8+e7+4 f5+so(8)+9(g2+su(2))"	59	260	1	1	0	0	0	0	0	0	2
59	45	"4 e8+e7+4 f5+so(8)+9(g2+su(2))"	59	260	0	1	0	0	0	0	0	0	2
59	47	"4 e8+e7+4 f5+so(8)+9(g2+su(2))"	59	260	0	1	0	0	0	0	0	0	2
59	48	"4 e8+e7+4 f5+so(8)+9(g2+su(2))"	59	260	0	1	0	0	0	0	0	0	2
59	49	"4 e8+e6+5 f5+so(8)+2 su(3)+8(g2+su(2))"	59	257	0	1	0	0	0	0	0	0	2
59	50	"4 e8+e7+4 f5+so(8)+su(3)+9(g2+su(2))"	59	260	1	0	0	0	0	0	0	0	3
59	51	"4 e8+e7+4 f5+so(8)+su(3)+9(g2+su(2))"	59	260	1	0	0	0	0	0	0	0	2
59	58	"4 e8+e6+5 f5+so(8)+su(3)+9(g2+su(2))"	62	263	1	0	0	0	0	0	0	0	2
59	63	"8 e7+f5+2(g2+su(2))+8(so(7)+2 su(2))"	59	251	0	0	0	0	0	1	1	0	2
59	68	"4 e8+e7'+4 f5+2 so(8)+9(g2+su(2))"	59	260	1	1	0	0	0	0	0	0	2
59	70	"11 e6+2 f5+12 su(3)+2(g2+su(2))"	59	254	0	0	0	0	0	0	1	1	2
59	81	"4 e8+e6+4 f5+2 so(8)+2 su(3)+8(g2+su(2))"	59	261	0	0	1	0	0	0	0	0	3
59	82	"4 e8+e7'+4 f5+2 so(8)+9(g2+su(2))"	59	260	0	1	0	0	0	0	0	0	2
