"TH"	"index"	"LST gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"
4	1	"0"	15	-26	1	1	0	0	0	0	1	0
4	1	"0"	15	-25	0	1	0	0	0	0	1	0
4	1	"0"	15	46	1	2	0	1	0	0	0	0
4	1	"0"	15	62	1	3	1	0	0	0	0	0
4	1	"0"	15	63	0	3	1	0	0	0	0	0
4	1	"0"	15	68	2	2	1	0	0	0	0	0
4	1	"0"	15	87	3	3	0	0	0	0	0	0
4	1	"0"	15	88	2	3	0	0	0	0	0	0
4	1	"0"	15	89	2	3	0	0	0	0	0	0
4	1	"0"	15	90	1	3	0	0	0	0	0	0
4	1	"0"	15	96	2	2	0	0	0	0	0	0
4	1	"0"	15	98	1	2	0	0	0	0	0	0
4	1	"0"	15	98	2	2	0	0	0	0	0	0
4	1	"0"	15	105	2	1	0	0	0	0	0	0
4	1	"0"	16	0	2	1	0	0	0	1	0	0
4	1	"0"	16	88	2	3	0	0	0	0	0	0
4	1	"0"	16	89	2	3	0	0	0	0	0	0
4	1	"0"	16	90	1	3	0	0	0	0	0	0
4	1	"0"	16	90	2	3	0	0	0	0	0	0
4	1	"0"	16	91	1	3	0	0	0	0	0	0
4	1	"0"	16	96	2	2	0	0	0	0	0	0
4	1	"0"	16	96	3	2	0	0	0	0	0	0
4	1	"0"	16	97	2	2	0	0	0	0	0	0
4	1	"0"	16	98	1	2	0	0	0	0	0	0
4	1	"0"	16	98	2	2	0	0	0	0	0	0
4	1	"0"	16	99	0	2	0	0	0	0	0	0
4	1	"0"	16	99	1	2	0	0	0	0	0	0
4	1	"0"	16	105	2	1	0	0	0	0	0	0
4	1	"0"	16	107	1	1	0	0	0	0	0	0
4	1	"0"	17	77	2	1	1	0	0	0	0	0
4	1	"0"	17	79	1	1	1	0	0	0	0	0
4	1	"0"	17	88	2	3	0	0	0	0	0	0
4	1	"0"	17	89	2	3	0	0	0	0	0	0
4	1	"0"	17	90	1	3	0	0	0	0	0	0
4	1	"0"	17	91	1	3	0	0	0	0	0	0
4	1	"0"	17	96	2	2	0	0	0	0	0	0
4	1	"0"	17	97	2	2	0	0	0	0	0	0
4	1	"0"	17	98	1	2	0	0	0	0	0	0
4	1	"0"	17	99	1	2	0	0	0	0	0	0
4	1	"0"	17	100	0	2	0	0	0	0	0	0
4	1	"0"	17	105	2	1	0	0	0	0	0	0
4	1	"0"	18	-143	2	1	0	0	0	0	0	1
4	1	"0"	18	-141	1	1	0	0	0	0	0	1
4	1	"0"	18	-140	0	1	0	0	0	0	0	1
4	1	"0"	18	55	1	1	0	1	0	0	0	0
4	1	"0"	18	70	1	2	1	0	0	0	0	0
4	1	"0"	18	71	1	2	1	0	0	0	0	0
4	1	"0"	18	77	2	1	1	0	0	0	0	0
4	1	"0"	18	88	2	3	0	0	0	0	0	0
4	1	"0"	18	89	2	3	0	0	0	0	0	0
4	1	"0"	18	90	1	3	0	0	0	0	0	0
4	1	"0"	18	91	0	3	0	0	0	0	0	0
4	1	"0"	18	96	2	2	0	0	0	0	0	0
4	1	"0"	18	96	3	2	0	0	0	0	0	0
4	1	"0"	18	97	2	2	0	0	0	0	0	0
4	1	"0"	18	98	2	2	0	0	0	0	0	0
4	1	"0"	18	99	1	2	0	0	0	0	0	0
4	1	"0"	18	105	2	1	0	0	0	0	0	0
4	1	"0"	19	-152	2	2	0	0	0	0	0	1
4	1	"0"	19	-150	1	2	0	0	0	0	0	1
4	1	"0"	19	-149	0	2	0	0	0	0	0	1
4	1	"0"	19	-149	1	2	0	0	0	0	0	1
4	1	"0"	19	-148	0	2	0	0	0	0	0	1
4	1	"0"	19	29	1	1	0	0	1	0	0	0
4	1	"0"	19	77	2	1	1	0	0	0	0	0
4	1	"0"	19	79	1	1	1	0	0	0	0	0
4	1	"0"	19	83	1	4	0	0	0	0	0	0
4	1	"0"	19	89	2	3	0	0	0	0	0	0
4	1	"0"	19	90	1	3	0	0	0	0	0	0
4	1	"0"	19	91	1	3	0	0	0	0	0	0
4	1	"0"	19	96	3	2	0	0	0	0	0	0
4	1	"0"	19	97	2	2	0	0	0	0	0	0
4	1	"0"	19	98	1	2	0	0	0	0	0	0
4	1	"0"	19	105	2	1	0	0	0	0	0	0
4	1	"0"	19	107	1	1	0	0	0	0	0	0
4	1	"0"	20	55	1	1	0	1	0	0	0	0
4	1	"0"	20	77	2	1	1	0	0	0	0	0
4	1	"0"	20	82	1	4	0	0	0	0	0	0
4	1	"0"	20	88	2	3	0	0	0	0	0	0
4	1	"0"	20	89	2	3	0	0	0	0	0	0
