"T"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
22	1	25	173	0	0	0	0	1	0	0	0	"""s1:1→1, 22→1"""	""""""
22	1	25	190	1	1	0	1	0	0	0	0	"{""s1:1→0, 22→1 / s2:1→1 / s3:1→1, 22→1"", ""s1:1→1, 22→0 / s2:22→1 / s3:22→1""}"	"{""s3:2→1"", ""s3:2→1""}"
22	1	25	194	1	0	2	0	0	0	0	0	"{""s1:1→0, 22→1 / s2:1→1 / s3:1→0, 22→1"", ""s1:1→0, 22→1 / s2:1→1 / s3:1→1, 22→2""}"	"{""s3:2→1"", ""s3:2→1""}"
22	1	25	198	1	0	0	1	0	0	0	0	"{""s1:1→0, 22→1 / s2:1→1, 22→1"", ""s1:1→0, 22→1 / s2:1→2, 22→1"", ""s1:1→0, 22→1 / s2:1→3, 22→1"", ""s1:1→0, 22→1 / s2:1→3, 22→2"", ""s1:1→1, 22→0 / s2:22→1"", ""s1:1→1, 22→0 / s2:22→2"", ""s1:1→1, 22→0 / s2:22→3"", ""s1:1→1, 22→1 / s2:22→0"", ""s1:1→1, 22→1 / s2:22→1"", ""s1:1→1, 22→1 / s2:22→2""}"	"{""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1""}"
22	1	25	212	2	1	1	0	0	0	0	0	"{""s1:1→0, 22→1 / s2:1→1, 22→0 / s3:1→1, 22→1 / s4:1→1, 22→1"", ""s1:1→1, 22→0 / s2:1→0, 22→1 / s3:1→1, 22→1 / s4:1→1, 22→1""}"	"{""s3:24→1 / s4:24→1"", ""s3:24→1 / s4:24→1""}"
22	1	25	213	2	1	1	0	0	0	0	0	"""s1:1→1, 22→0 / s2:1→0, 22→1 / s3:1→0, 22→1 / s4:1→1, 22→1"""	"""s3:2→1 / s4:24→1"""
22	1	25	214	1	1	1	0	0	0	0	0	"{""s1:1→0, 22→1 / s2:1→1, 22→0 / s3:1→1, 22→1"", ""s1:1→0, 22→1 / s2:1→1, 22→0 / s3:1→2, 22→2"", ""s1:1→0, 22→1 / s2:1→2, 22→1 / s3:1→0, 22→0"", ""s1:1→0, 22→1 / s2:1→2, 22→1 / s3:1→1, 22→1"", ""s1:1→0, 22→1 / s2:1→2, 22→1 / s3:1→2, 22→1"", ""s1:1→1, 22→0 / s2:1→0, 22→1 / s3:1→1, 22→1"", ""s1:1→1, 22→1 / s2:1→0, 22→1 / s3:1→0, 22→1""}"	"{""s3:24→1"", ""s3:2→1"", ""s3:2→1"", ""s3:2→1"", ""s3:2→1"", ""s3:24→1"", ""s3:2→1""}"
22	1	25	215	0	1	1	0	0	0	0	0	"{""s1:1→0, 22→1 / s2:1→1, 22→1"", ""s1:1→0, 22→1 / s2:1→2, 22→1"", ""s1:1→1, 22→0 / s2:1→1, 22→1"", ""s1:1→1, 22→0 / s2:1→1, 22→2"", ""s1:1→1, 22→1 / s2:1→0, 22→1"", ""s1:1→1, 22→1 / s2:1→1, 22→0"", ""s1:1→1, 22→1 / s2:1→1, 22→1"", ""s1:1→1, 22→2 / s2:1→1""}"	"{"""", """", """", """", """", """", """", """"}"
22	1	25	222	1	0	1	0	0	0	0	0	"{""s1:1→0, 22→1 / s2:1→0, 22→1"", ""s1:1→0, 22→1 / s2:1→1, 22→2"", ""s1:1→0, 22→1 / s2:1→2, 22→2"", ""s1:1→0, 22→1 / s2:1→2, 22→3"", ""s1:1→1, 22→0 / s2:1→1, 22→2"", ""s1:1→1, 22→1 / s2:1→0, 22→2"", ""s1:1→1, 22→1 / s2:1→0, 22→3"", ""s1:1→1, 22→1 / s2:1→1, 22→3"", ""s1:1→1, 22→1 / s2:1→1, 22→4""}"	"{""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1""}"
22	1	25	223	0	0	1	0	0	0	0	0	"""s1:1→1, 22→2"""	""""""
22	1	25	227	0	3	0	0	0	0	0	0	"{""s1:1→0, 22→1 / s2:1→1, 22→1 / s3:1→1, 22→1"", ""s1:1→1, 22→0 / s2:1→1, 22→1 / s3:1→1, 22→1""}"	"{"""", """"}"
22	1	25	234	1	2	0	0	0	0	0	0	"{""s1:1→0, 22→1 / s2:1→1, 22→1 / s3:1→0, 22→1"", ""s1:1→0, 22→1 / s2:1→1, 22→1 / s3:1→1, 22→1"", ""s1:1→0, 22→1 / s2:1→1, 22→1 / s3:1→1, 22→1"", ""s1:1→0, 22→1 / s2:1→1, 22→1 / s3:1→1, 22→1"", ""s1:1→0, 22→1 / s2:1→1, 22→1 / s3:1→1, 22→2"", ""s1:1→0, 22→1 / s2:1→1, 22→1 / s3:1→1, 22→2"", ""s1:1→0, 22→1 / s2:1→1, 22→1 / s3:1→1, 22→3"", ""s1:1→0, 22→1 / s2:1→1, 22→1 / s3:1→2, 22→2"", ""s1:1→0, 22→1 / s2:1→1, 22→1 / s3:1→2, 22→2"", ""s1:1→0, 22→1 / s2:1→1, 22→1 / s3:1→2, 22→3"", ""s1:1→0, 22→1 / s2:1→1, 22→1 / s3:1→2, 22→3"", ""s1:1→0, 22→1 / s2:1→1, 22→1 / s3:1→2, 22→3"", ""s1:1→0, 22→1 / s2:1→1, 22→1 / s3:1→3, 22→2"", ""s1:1→0, 22→1 / s2:1→2, 22→1 / s3:1→1, 22→1"", ""s1:1→0, 22→1 / s2:1→2, 22→1 / s3:1→2, 22→1"", ""s1:1→0, 22→1 / s2:1→2, 22→2 / s3:1→0, 22→1"", ""s1:1→0, 22→1 / s2:1→2, 22→2 / s3:1→1, 22→1"", ""s1:1→0, 22→1 / s2:1→2, 22→2 / s3:1→1, 22→2"", ""s1:1→0, 22→1 / s2:1→2, 22→2 / s3:1→2, 22→1"", ""s1:1→0, 22→1 / s2:1→2, 22→2 / s3:1→2, 22→2"", ""s1:1→0, 22→1 / s2:1→2, 22→2 / s3:1→2, 22→3"", ""s1:1→0, 22→1 / s2:1→2, 22→3 / s3:1→0, 22→1"", ""s1:1→0, 22→1 / s2:1→3, 22→2 / s3:1→1, 22→1"", ""s1:1→0, 22→1 / s2:1→3, 22→2 / s3:1→2, 22→1"", ""s1:1→1, 22→0 / s2:1→1, 22→1 / s3:1→1, 22→1"", ""s1:1→1, 22→0 / s2:1→1, 22→1 / s3:1→1, 22→1"", ""s1:1→1, 22→0 / s2:1→1, 22→1 / s3:1→1, 22→1"", ""s1:1→1, 22→0 / s2:1→1, 22→1 / s3:1→1, 22→2"", ""s1:1→1, 22→0 / s2:1→1, 22→2 / s3:1→1, 22→2"", ""s1:1→1, 22→0 / s2:1→1, 22→2 / s3:1→1, 22→3"", ""s1:1→1, 22→0 / s2:1→2, 22→2 / s3:22→1"", ""s1:1→1, 22→0 / s2:1→2, 22→3 / s3:22→1"", ""s1:1→1, 22→1 / s2:1→1, 22→1 / s3:1→0, 22→0"", ""s1:1→1, 22→1 / s2:1→1, 22→1 / s3:1→0, 22→1"", ""s1:1→1, 22→1 / s2:1→1, 22→1 / s3:1→0, 22→1"", ""s1:1→1, 22→1 / s2:1→1, 22→1 / s3:1→0, 22→2"", ""s1:1→1, 22→1 / s2:1→1, 22→1 / s3:1→1, 22→0"", ""s1:1→1, 22→1 / s2:1→1, 22→1 / s3:1→1, 22→1"", ""s1:1→1, 22→1 / s2:1→1, 22→1 / s3:1→1, 22→1"", ""s1:1→1, 22→1 / s2:1→1, 22→1 / s3:1→1, 22→2"", ""s1:1→1, 22→1 / s2:1→1, 22→1 / s3:1→1, 22→2"", ""s1:1→1, 22→1 / s2:1→1, 22→1 / s3:1→1, 22→3"", ""s1:1→1, 22→1 / s2:1→1, 22→1 / s3:1→1, 22→3"", ""s1:1→1, 22→1 / s2:1→1, 22→1 / s3:1→1, 22→4"", ""s1:1→1, 22→1 / s2:1→1, 22→2 / s3:1→0, 22→1"", ""s1:1→1, 22→1 / s2:1→1, 22→2 / s3:1→0, 22→2"", ""s1:1→1, 22→1 / s2:1→1, 22→2 / s3:1→1, 22→3"", ""s1:1→1, 22→1 / s2:1→2, 22→1 / s3:22→0"", ""s1:1→1, 22→1 / s2:1→2, 22→1 / s3:22→1"", ""s1:1→1, 22→1 / s2:1→2, 22→2 / s3:22→0"", ""s1:1→1, 22→1 / s2:1→2, 22→2 / s3:22→1"", ""s1:1→1, 22→1 / s2:1→2, 22→3 / s3:22→1""}"	"{""s3:2→1"", ""s3:23→1"", ""s3:24→1"", ""s3:2→1"", ""s3:24→1"", ""s3:2→1"", ""s3:2→1"", ""s3:23→1"", ""s3:24→1"", ""s3:23→1"", ""s3:24→1"", ""s3:2→1"", ""s3:23→1"", ""s3:2→1"", ""s3:23→1"", ""s3:2→1"", ""s3:23→1"", ""s3:2→1"", ""s3:23→1"", ""s3:2→1"", ""s3:2→1"", ""s3:2→1"", ""s3:2→1"", ""s3:23→1"", ""s3:23→1"", ""s3:24→1"", ""s3:2→1"", ""s3:2→1"", ""s3:23→1"", ""s3:2→1"", ""s3:2→1"", ""s3:2→1"", ""s3:2→1"", ""s3:24→1"", ""s3:2→1"", ""s3:2→1"", ""s3:24→1"", ""s3:24→1"", ""s3:2→1"", ""s3:24→1"", ""s3:2→1"", ""s3:24→1"", ""s3:2→1"", ""s3:2→1"", ""s3:23→1"", ""s3:2→1"", ""s3:2→1"", ""s3:2→1"", ""s3:2→1"", ""s3:2→1"", ""s3:2→1"", ""s3:2→1""}"
22	1	25	235	0	2	0	0	0	0	0	0	"{""s1:1→0, 22→1 / s2:1→2, 22→2"", ""s1:1→0, 22→1 / s2:1→2, 22→3"", ""s1:1→1, 22→0 / s2:1→2, 22→2"", ""s1:1→1, 22→0 / s2:1→3, 22→2"", ""s1:1→1, 22→1 / s2:1→1, 22→3"", ""s1:1→1, 22→2 / s2:1→1, 22→2""}"	"{"""", """", """", """", """", """"}"
22	1	25	239	3	1	0	0	0	0	0	0	"{""s1:1→0, 22→1 / s2:1→1, 22→0 / s3:1→2, 22→2 / s4:1→3, 22→2"", ""s1:1→1, 22→0 / s2:1→0, 22→1 / s3:1→0, 22→1 / s4:1→2, 22→3""}"	"{""s2:23→1 / s3:2→1 / s4:23→1"", ""s2:23→1 / s3:2→1 / s4:23→1""}"
